Instellingscode|Naam instelling
21TE|Interuniversitair Instituut Bedrijfskunde te Rotterdam/Delft
21TN|Hogeschool Oost-Nederland
21TQ|Hogeschool Nijmegen
21TR|Katholieke Pedagogische Hogeschool Arnhem Nijmegen
21TS|Hogeschool Sittard
21TW|Agrarische Hogeschool Friesland
21TY|Christelijke Hogeschool Rijn Delfland
21UA|Hogeschool Heerlen
21UG|Hogeschool IPABO Amsterdam Alkmaar
21UH|PABO Eindhoven
21UI|Breda University of Applied Sciences
21UJ|Hogeschool Delft
21WN|NHL Hogeschool
21WO|Fontys Hogescholen Venlo
21ZL|Haagse Hogeschool
22BO|Fontys Hogescholen Tilburg
22BP|Fontys Hogescholen 's-Hertogenbosch
22BQ|Fontys Hogescholen Sittard
22EX|Stenden Hogeschool
22HH|Hogeschool Viaa
22IA|Katholieke Pedagogische Hogeschool West-Nederland
22JA|Fontys Pedagogisch Technische Hogeschool
22NC|Open Universiteit
22ND|Internationale Agrarische Hogeschool Larenstein
22OJ|Hogeschool Rotterdam
23AH|Saxion Hogeschool
23BF|Universiteit voor Humanistiek
23KJ|Hogeschool der Kunsten Den Haag
23NG|Hogeschool Tio (aangewezen)
23TG|Amsterdamse Balletacademie (aangewezen)
23XV|Evangelische Hogeschool (aangewezen)
24BU|Internationale Hogeschool voor Fysiotherapie Thim van der Laan (aangewezen)
24FW|Hogeschool Bestuursacademie Nederland (aangewezen)
24FX|Hogeschool Praehep (aangewezen)
24GE|Business School Notenboom (aangewezen)
24GH|Dutch Delta University of Professional Education (aangewezen)
24GL|Hogeschool Scheidegger (aangewezen)
24GP|Hogeschool Schoevers (aangewezen)
24HA|Stichtse Opleiding Middelbare Akten (SOMA) (aangewezen)
24HC|Hogeschool GEO (aangewezen)
24HR|Hogeschool NOVI (aangewezen)
24HW|Stichting Hogere Opleidingen 'Bandoera' (aangewezen)
24JF|Hogeschool Hanzesteden (aangewezen)
24KB|Hogeschool NCOI (aangewezen)
24KD|Hogeschool Markus Verbeek Praehep (aangewezen)
24KF|Hogeschool West-Nederland voor Vertaler en Tolk (aangewezen)
24KM|The New School for Information Services (aangewezen)
24KX|HBO Nederland (aangewezen)
24LE|Van Hall Instituut
24LJ|Hogeschool Rens & Rens (aangewezen)
24LK|Leidse Onderwijsinstellingen (LOI) (aangewezen)
24LY|TMO Fashion Business School (aangewezen)
24ME|Nationale Luchtvaartschool (aangewezen)
24MV|NTA-Academie (aangewezen)
24RF|Evangelische Theologische Hogeschool (aangewezen)
24UY|NTI Hogeschool (aangewezen)
24VP|NBI Hogeschool voor Theologie (aangewezen)
24XP|Stichting Speciale Opleidingen Hogeschool Brabant (aangewezen)
24XU|Academie voor Eurythmie (aangewezen)
24YE|Hoger Onderwijs voor Bedrijfskundige Informatiekunde (HOBI) (aangewezen)
24ZL|Instituut Brouwer (aangewezen)
25AC|ITV Hogeschool voor Tolken en Vertalen (aangewezen)
25AJ|INHOLLAND Select Studies (aangewezen)
25AL|Hogeschool Schumann Akademie (aangewezen)
25AV|Theologische Universiteit Utrecht
25AY|Wittenborg University of Applied Sciences (aangewezen)
25BA|Christelijke Hogeschool Ede
25BE|Hanzehogeschool Groningen
25BV|Hogeschool ISBW (aangewezen)
25CG|Hogeschool Thorbecke (aangewezen)
25CW|Stichting Esperanto bij het Onderwijs (aangewezen)
25DW|Hogeschool Utrecht
25FM|A&A Hogeschool voor de Accountancy (aangewezen)
25JX|Zuyd Hogeschool
25KB|Hogeschool van Arnhem en Nijmegen
25RR|Hogeschool Dirksen (aangewezen)
25ZF|IHE Delft Institute for Water Education (aangewezen)
27NE|HAN-PBNA (aangewezen)
27NF|ArtEZ
27PZ|Hogeschool Inholland
27UM|De Haagse Hogeschool
27VW|Cursus Godsdienst Onderwijs (aangewezen)
27VX|Stichting Post-Hoger Onderwijs Eindhoven (aangewezen)
27VY|Hogeschool Viaa (aangewezen)
27VZ|Stichting managementopleiding gezondheidszorg Zeeland (aangewezen)
27WB|Christelijke leergangen op reformatorische grondslag de Driestar (aangewezen)
27WC|EuroCollege Hogeschool (aangewezen)
27WD|Theologische Hogeschool vanwege de Gereformeerde Bond 'Johannes Calvijn' (aangewezen)
27WE|Azusa Theologische Hogeschool (aangewezen)
27WF|De Wittenberg, Christelijke Hogeschool en toerustingscentrum (aangewezen)
27WG|Stichting opleidingen Hoger Onderwijs voor Tolken en Vertalers (aangewezen)
27WH|Hogeschool voor Pedagogisch en Sociaal-Agogisch Onderwijs Groningen (aangewezen)
27WJ|Breederode Hogeschool (aangewezen)
27WK|University of Applied Sciences Europe (aangewezen)
27WL|Bourdon Hogeschool voor Muziek (aangewezen)
27WM|Hogeschool Gorinchem IDE (aangewezen)
27WN|De Vrije-Muziek Akademie (aangewezen)
27WV|Avans Hogeschool (aangewezen)
27WW|Hogescholen Oost Nederland (aangewezen)
27WX|De Stichtse Hogeschool (aangewezen)
27XL|Stichting Windesheim (aangewezen)
27WP|European University of Applied Science (aangewezen)
27WR|Instituut voor Psychosynthese (aangewezen)
27WT|Hogeschool Thorn Kreato Muziekacademie (aangewezen)
27WU|IVA Driebergen (aangewezen)
27XR|Stichting Oud Katholiek Seminarie (aangewezen)
27XT|Seminarium Algemeen Doopsgezinde Societeit (aangewezen)
27XV|Seminarium van de Unie van Baptistengemeenten in Nederland (aangewezen)
27XW|Kerkelijke Opleiding Nederlandse Hervormde Kerk in Groningen (aangewezen)
27XX|Kerkelijke Opleiding van de PKN Leiden
27XY|Seminarium der Remonstrants Broederschap (aangewezen)
27XZ|Kerkelijke Opleiding van de PKN Utrecht
27YA|transnationale Universiteit Limburg
27ZC|TIAS Business School (aangewezen)
28AR|IHS Institute for Housing and Urban Development Studies (aangewezen)
28AT|MSM Maastricht School of Management (aangewezen)
28BM|Centrum voor studie en documentatie van Latijns Amerika (CEDLA) (aangewezen)
28CC|Fontys Aangewezen HBO Opleidingen (aangewezen)
28DN|Hogeschool van Amsterdam
28DP|Politieacademie (aangewezen)
28DR|Hogeschool van Amsterdam (aangewezen)
28DT|Europort Business School (aangewezen)
28DU|Pro Education B.V. (aangewezen)
28DW|Stichting Opleidingen Musculoskeletale Therapie (SOMT) (aangewezen)
28DX|Business School Nederland (aangewezen)
28DY|TiasNimbas Business School (aangewezen)
28EA|HES Consultancy BV (aangewezen)
29PY|Saxion Next (aangewezen)
29PZ|Hogeschool NCOI (aangewezen)
29TP|Landelijk Expertisecentrum Sociale Interventie (LESI) (aangewezen)
29UH|Instituut Defensie Leergangen (IDL) (aangewezen)
29UJ|NSO-CNA Leiderschapsacademie (aangewezen)
