Instellingscode|Vestigingsnummer|Gemeentenaam volgens RIO|Gemeentecode per 1 januari 2025|Gemeentenaam per 1 januari 2025
22ND|01|DEVENTER|0150|Deventer
22ND|02|DELFT|0503|Delft
22ND|03|WAGENINGEN|0289|Wageningen
22ND|04|NIJMEGEN|0268|Nijmegen
22OJ|00|ROTTERDAM|0599|Rotterdam
22OJ|02|DORDRECHT|0505|Dordrecht
22OJ|03|VLISSINGEN|0718|Vlissingen
22OJ|04|ARNHEM|0202|Arnhem
22OJ|05|GRONINGEN|0014|Groningen
22OJ|06|DELFT|0503|Delft
22OJ|07|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
23AH|00|ENSCHEDE|0153|Enschede
23AH|01|DEVENTER|0150|Deventer
23AH|02|APELDOORN|0200|Apeldoorn
23AH|03|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
23AH|04|HENGELO (O)|0164|Hengelo
23AH|05|UTRECHT|0344|Utrecht
23BF|00|UTRECHT|0344|Utrecht
23BF|01|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
23KJ|00|'S-GRAVENHAGE|0518|'s-Gravenhage
24LE|00|LEEUWARDEN|0080|Leeuwarden
24LE|01|GRONINGEN|0014|Groningen
24LK|00|LEIDERDORP|0547|Leiderdorp
24UY|01|LEIDEN|0546|Leiden
25AV|00|KAMPEN|0166|Kampen
25AV|01|UTRECHT|0344|Utrecht
25BA|00|EDE|0228|Ede
25BA|01|DORDRECHT|0505|Dordrecht
25BE|00|GRONINGEN|0014|Groningen
25BE|01|LEEUWARDEN|0080|Leeuwarden
25BE|02|AMSTERDAM|0363|Amsterdam
25BE|03|RENKUM|0274|Renkum
25BE|04|ASSEN|0106|Assen
25BE|05|UTRECHT|0344|Utrecht
25DW|00|UTRECHT|0344|Utrecht
25DW|16|AMERSFOORT|0307|Amersfoort
25DW|20|AMSTERDAM|0363|Amsterdam
25DW|21|ARNHEM|0202|Arnhem
25DW|22|DOETINCHEM|0222|Doetinchem
25DW|23|ENSCHEDE|0153|Enschede
25DW|24|'S-GRAVENHAGE|0518|'s-Gravenhage
25DW|25|HAREN GN|0014|Groningen
25DW|26|VLISSINGEN|0718|Vlissingen
25DW|27|MAASTRICHT|0935|Maastricht
25DW|28|ROTTERDAM|0599|Rotterdam
25DW|29|ZWOLLE|0193|Zwolle
25DW|33|VELSEN|0453|Velsen
