Variable;Used;Sensitive
verblijfsjaar_actuele_opleiding;FALSE;FALSE
verblijfsjaar_actuele_instelling;FALSE;FALSE
verblijfsjaar_actuele_opleiding_instelling;FALSE;FALSE
verblijfsjaar_act_inst_type_ho_binnen_soort_ho;FALSE;FALSE
verblijfsjaar_continu_ho;FALSE;FALSE
verblijfsjaar_continu_soort_ho;FALSE;FALSE
verblijfsjaar_continu_actuele_instelling;FALSE;FALSE
verblijfsjaar_continu_type_ho_binnen_ho;FALSE;FALSE
indicatie_university_college;FALSE;FALSE
iscedf2013_rubriek;FALSE;FALSE
herkomstland_volgens_cbs_definitie;FALSE;FALSE
herkomst_indikking_volgens_cbs_definitie;FALSE;FALSE
indicatie_geboren;FALSE;FALSE
burgerservicenummer;FALSE;FALSE
onderwijsnummer;FALSE;FALSE
retentie;TRUE;FALSE
gemiddeld_cijfer_cijferlijst;TRUE;FALSE
ak;FALSE;FALSE
anw;FALSE;FALSE
biol;FALSE;FALSE
ckv;FALSE;FALSE
dutl;FALSE;FALSE
entl;FALSE;FALSE
gds;FALSE;FALSE
lo;FALSE;FALSE
maat;FALSE;FALSE
nat;FALSE;FALSE
netl;FALSE;FALSE
schk;FALSE;FALSE
wis_b;FALSE;FALSE
beco;FALSE;FALSE
bi1;FALSE;FALSE
ckv1;FALSE;FALSE
du1;FALSE;FALSE
ec12;FALSE;FALSE
en;FALSE;FALSE
fa1;FALSE;FALSE
gs;FALSE;FALSE
gs1;FALSE;FALSE
lett;FALSE;FALSE
lo1;FALSE;FALSE
ma1;FALSE;FALSE
ne;FALSE;FALSE
wa12;FALSE;FALSE
rt3f;FALSE;FALSE
econ;FALSE;FALSE
ges;FALSE;FALSE
maw;FALSE;FALSE
fatl;FALSE;FALSE
fi;FALSE;FALSE
ltc;FALSE;FALSE
wis_a;FALSE;FALSE
m_o;FALSE;FALSE
fa12;FALSE;FALSE
kcv;FALSE;FALSE
la;FALSE;FALSE
te;FALSE;FALSE
wb1;FALSE;FALSE
ee;FALSE;FALSE
et;FALSE;FALSE
fa;FALSE;FALSE
wa;FALSE;FALSE
bi;FALSE;FALSE
du;FALSE;FALSE
