SES_Verslagjaar;SES_PC4;SES_Aantal_huishoudens;SES_Deelscore_welvaart;SES_Deelscore_arbeid;SES_Totaalscore;SES_Spreiding_welvaart;SES_Spreiding_arbeid;SES_Spreiding_totaalscore;SES_Interval_ondergrens;SES_Interval_bovengrens
2022;1719;200;0,12;0,059;0,186;0,313;0,258;0,69;0,669;0,711
2022;1721;2400;0,122;0,078;0,245;0,303;0,254;0,682;0,673;0,69
2022;1722;2700;0,121;0,06;0,214;0,29;0,262;0,67;0,662;0,678
2022;1723;2600;0,04;0,048;0,083;0,33;0,276;0,723;0,718;0,729
2022;1724;1600;0,1;0,073;0,194;0,312;0,266;0,685;0,677;0,692
2022;1731;1400;0,089;0,091;0,184;0,313;0,248;0,659;0,653;0,666
2022;1732;300;0,126;0,104;0,24;0,291;0,221;0,622;0,607;0,638
2022;1733;1400;0,113;0,073;0,194;0,293;0,24;0,657;0,649;0,665
2022;1734;200;0,236;0,127;0,439;0,177;0,187;0,477;0,448;0,506
2022;1735;900;0,121;0,078;0,198;0,285;0,24;0,635;0,62;0,649
2022;1736;100;0,251;0,133;0,422;0,154;0,179;0,433;0,407;0,459
2022;1738;1100;0,136;0,088;0,227;0,289;0,229;0,65;0,638;0,662
2022;1741;6000;0,034;0,024;0,044;0,344;0,272;0,756;0,751;0,761
2022;1742;2900;0,058;0,025;0,085;0,327;0,296;0,724;0,717;0,731
2022;1744;800;0,138;0,052;0,208;0,283;0,248;0,63;0,617;0,643
2022;1746;700;0,077;0,053;0,133;0,332;0,265;0,727;0,718;0,736
2022;1747;1600;0,082;0,06;0,144;0,328;0,263;0,722;0,714;0,729
2022;1749;2500;0,13;0,072;0,227;0,292;0,247;0,663;0,656;0,671
2022;1751;900;0,118;0,075;0,217;0,299;0,241;0,651;0,639;0,663
2022;1752;300;0,167;0,085;0,283;0,234;0,226;0,576;0,551;0,6
2022;1753;300;-0,022;0,041;-0,036;0,39;0,282;0,766;0,749;0,782
2022;1754;400;0,12;0,079;0,219;0,307;0,26;0,675;0,658;0,692
2022;1755;700;0,079;0,034;0,101;0,32;0,277;0,704;0,688;0,72
2022;1756;1000;0,066;0,066;0,127;0,326;0,26;0,689;0,679;0,7
2022;1757;300;0,098;0,073;0,155;0,283;0,258;0,656;0,641;0,671
2022;1759;1100;0,079;0,025;0,102;0,329;0,251;0,693;0,68;0,705
2022;1761;3700;0,036;0,044;0,062;0,338;0,278;0,731;0,726;0,737
2022;1764;1600;0,099;0,088;0,189;0,306;0,234;0,644;0,631;0,657
2022;1766;1000;0,068;0,08;0,147;0,321;0,262;0,683;0,675;0,692
2022;1767;500;0,083;0,109;0,194;0,292;0,219;0,616;0,598;0,633
2022;1768;400;0,147;0,082;0,258;0,285;0,247;0,649;0,63;0,667
2022;1769;100;NA;NA;NA;NA;NA;NA;NA;NA
2022;1771;2700;0,019;0,048;0,027;0,352;0,276;0,738;0,73;0,745
2022;1773;200;-0,021;0,063;-0,028;0,281;0,299;0,668;0,643;0,693
2022;1774;900;0,047;0,092;0,127;0,35;0,248;0,726;0,712;0,74
2022;1775;2000;-0,045;0,084;-0,009;0,409;0,25;0,751;0,739;0,763
2022;1777;2400;0,008;0,043;0,012;0,361;0,269;0,752;0,746;0,758
2022;1778;400;0,122;0,066;0,181;0,267;0,24;0,617;0,603;0,63
2022;1779;1100;0,036;0,073;0,066;0,328;0,253;0,685;0,67;0,699
2022;1781;4900;-0,099;-0,037;-0,205;0,373;0,376;0,86;0,855;0,865
2022;1782;5400;-0,075;-0,019;-0,149;0,37;0,351;0,853;0,849;0,857
2022;1783;1400;-0,156;-0,069;-0,312;0,409;0,378;0,921;0,913;0,929
2022;1784;4200;-0,142;-0,078;-0,305;0,41;0,396;0,939;0,935;0,943
2022;1785;4700;-0,092;-0,005;-0,173;0,355;0,28;0,753;0,746;0,761
2022;1786;100;NA;NA;NA;NA;NA;NA;NA;NA
2022;1787;1100;0,107;0,079;0,21;0,288;0,236;0,668;0,654;0,683
2022;1788;5100;0,089;0,073;0,187;0,268;0,249;0,601;0,597;0,605
2022;1789;300;0,199;0,052;0,328;0,238;0,23;0,591;0,571;0,612
2022;1791;3500;0,042;0,038;0,061;0,351;0,267;0,705;0,701;0,71
2022;1792;600;0,142;0,09;0,246;0,266;0,23;0,576;0,561;0,591
2022;1793;200;0,187;0,058;0,285;0,259;0,244;0,544;0,516;0,573
2022;1794;600;0,115;0,07;0,218;0,291;0,25;0,607;0,59;0,625
