"CBS_APCG_PC4";"CBS_APCG_tf";"CBS_APCG_Jaar"
5344;TRUE;2019
5348;TRUE;2019
5612;TRUE;2019
5615;TRUE;2019
5621;TRUE;2019
5622;TRUE;2019
5623;TRUE;2019
5625;TRUE;2019
5628;TRUE;2019
5632;TRUE;2019
5641;TRUE;2019
5642;TRUE;2019
5643;TRUE;2019
5645;TRUE;2019
5651;TRUE;2019
5652;TRUE;2019
5653;TRUE;2019
5654;TRUE;2019
5665;TRUE;2019
5701;TRUE;2019
5702;TRUE;2019
5703;TRUE;2019
5705;TRUE;2019
5802;TRUE;2019
5912;TRUE;2019
5914;TRUE;2019
5915;TRUE;2019
5922;TRUE;2019
5923;TRUE;2019
5925;TRUE;2019
5932;TRUE;2019
5935;TRUE;2019
6006;TRUE;2019
6043;TRUE;2019
6044;TRUE;2019
6045;TRUE;2019
6214;TRUE;2019
6217;TRUE;2019
6222;TRUE;2019
6224;TRUE;2019
6412;TRUE;2019
6415;TRUE;2019
6531;TRUE;2019
6533;TRUE;2019
6534;TRUE;2019
6535;TRUE;2019
6537;TRUE;2019
6538;TRUE;2019
6541;TRUE;2019
6542;TRUE;2019
6543;TRUE;2019
6544;TRUE;2019
6545;TRUE;2019
6546;TRUE;2019
6702;TRUE;2019
6714;TRUE;2019
6717;TRUE;2019
6811;TRUE;2019
6822;TRUE;2019
6823;TRUE;2019
6825;TRUE;2019
6826;TRUE;2019
6827;TRUE;2019
6828;TRUE;2019
6831;TRUE;2019
6832;TRUE;2019
6833;TRUE;2019
6834;TRUE;2019
6835;TRUE;2019
6841;TRUE;2019
6844;TRUE;2019
6845;TRUE;2019
6882;TRUE;2019
6982;TRUE;2019
7002;TRUE;2019
7202;TRUE;2019
7204;TRUE;2019
7312;TRUE;2019
7323;TRUE;2019
7331;TRUE;2019
7413;TRUE;2019
7415;TRUE;2019
7416;TRUE;2019
7417;TRUE;2019
7511;TRUE;2019
7512;TRUE;2019
7513;TRUE;2019
7514;TRUE;2019
7521;TRUE;2019
7523;TRUE;2019
7533;TRUE;2019
7541;TRUE;2019
7542;TRUE;2019
7543;TRUE;2019
7544;TRUE;2019
7545;TRUE;2019
7552;TRUE;2019
7553;TRUE;2019
7556;TRUE;2019
7557;TRUE;2019
7574;TRUE;2019
7601;TRUE;2019
7604;TRUE;2019
7605;TRUE;2019
7606;TRUE;2019
7824;TRUE;2019
7942;TRUE;2019
8021;TRUE;2019
8022;TRUE;2019
8031;TRUE;2019
8032;TRUE;2019
8223;TRUE;2019
8224;TRUE;2019
8225;TRUE;2019
8226;TRUE;2019
8231;TRUE;2019
8232;TRUE;2019
8233;TRUE;2019
8243;TRUE;2019
8303;TRUE;2019
8442;TRUE;2019
8911;TRUE;2019
8918;TRUE;2019
8923;TRUE;2019
8924;TRUE;2019
8937;TRUE;2019
9602;TRUE;2019
9645;TRUE;2019
9711;TRUE;2019
9713;TRUE;2019
9715;TRUE;2019
9716;TRUE;2019
9732;TRUE;2019
9733;TRUE;2019
9736;TRUE;2019
9737;TRUE;2019
9741;TRUE;2019
9742;TRUE;2019
9743;TRUE;2019
9931;TRUE;2019
9932;TRUE;2019
9933;TRUE;2019
