Code vooropleiding oorspr. code|Onderwijssector|Omschrijving vooropleiding oorspr. code
05455|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in mechanische techniek v.b.o.
05456|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in motorvoertuigentechniek vbo
05457|HO|3egr ns wiskunde-natuurkunde
05458|HO|3egr ns wiskunde
05460|HO|2egr ns bouwkunde i/ii mbo
05461|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in bouwkunde m.b.o.
05463|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in electrotechniek m.b.o.
05464|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in grafische techniek m.b.o.
05465|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in installatietechniek I en II
05466|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in mechanische techniek m.b.o.
05467|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in motorvoertuigentechniek mbo
05468|HO|2egr ns werktuigbouwkunde i/ii mbo
05470|HO|3egr os bouwkunde-bouwtechniek
05471|HO|3egr os bouwkunde-natuurkunde
05472|HO|3egr os bouwkunde-wiskunde
05473|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in bouwkunde I en II
05474|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in bouwtechniek I en II
05475|HO|2egr ns chemische laboratorium techniek mbo
05476|HO|2egr ns consumptieve techniek
05477|HO|3egr os consumptieve techniek i/ii
05478|HO|3egr os electrotechniek-natuurkunde
05479|HO|3egr os electrotechniek-praktijk electrotechniek
05480|HO|3egr os electrotechniek-wiskunde
05481|HO|3egr os grafische techniek i/ii
05482|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in elektrotechniek I en II
05483|HO|2egr ns medisch biologische laboratorium techniek mbo
05484|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in Grafische Techniek I en II
05485|HO|3egr os werktuigbouwkunde-installatietechniek
05486|HO|3egr os werktuigbouwkunde-mechanische techniek
05487|HO|3egr os werktuigbouwkunde-motorvoertuigentechniek
05488|HO|3egr os werktuigbouwkunde-natuurkunde
05489|HO|3egr os werktuigbouwkunde-wiskunde
05490|HO|3egr os wiskunde-natuurkunde
05491|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad (ten behoeve van het b.b.o.) in bankwerken en machinaal verspanen
05492|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad (ten behoeve van het b.b.o.) in constructie en apparatenbouw
05493|HO|2egr ns weg-waterbouwkunde
05494|HO|2egr ns natuurkunde
05495|HO|2egr ns wiskunde
05496|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad (ten behoeve van het b.b.o.) in energietechniek
05497|HO|Pedagogisch-didactisch diploma
05498|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad (ten behoeve van het b.b.o) in installatietechniek
05499|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad (ten behoeve van het b.b.o.) in koken en serveren
05500|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad (ten behoeve van het b.b.o.) in motorvoertuigen herstellen
05501|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad (ten behoeve van het b.b.o.) in metselen/stucadoren/tegelzetten
05502|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in timmeren + machinaal houtbewerken
05503|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in schilderen b.b.o/m.b.o.
05504|HO|2 jarige hbo-cursus (21 kleine leerstofgebieden) bbo dt
05508|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in mechanische techniek I en II
05509|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in motorvoertuigentechniek I en II
05510|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in werktuigbouwkunde I en II
05511|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in consumptieve techniek I en II
05512|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in beeldende vorming
05513|HO|Opleiding tot leraar voortgezet onderwijs van de tweede graad in Mens en Maatschappij
05518|HO|Opleiding tot leraar voortgezet onderwijs van de eerste graad in Natuurkunde
05519|HO|Opleiding tot leraar voortgezet onderwijs van de eerste graad in Scheikunde
06001|HO|Algemene taalwetenschap
06002|HO|Algemene literatuurwetenschap
06003|HO|Griekse en Latijnse taal en cultuur
06004|HO|Nederlandse taal- en letterkunde
06006|HO|Franse taal- en letterkunde
06007|HO|Italiaanse taal- en letterkunde
06008|HO|Spaanse taal- en letterkunde
06009|HO|Portugese taal- en letterkunde
06010|HO|Duitse taal- en letterkunde
06011|HO|Engelse taal- en letterkunde
06012|HO|Friese taal- en letterkunde
06013|HO|Scandinavische talen en letterkunde
06014|HO|Slavische talen en letterkunde
06015|HO|Egyptische taal en cultuur
06016|HO|Arabische, Nieuwperzische en Turkse talen en culturen
06020|HO|Oudgermaanse taal- en letterkunde
06021|HO|Roemeense taal- en letterkunde
06022|HO|Talen en culturen van zuidoost-azie en oceanie
06025|HO|Chin./jap. taal en cultuur
06028|HO|Afrikaanse taalkunde
06031|HO|Finoegrische talen en letterkunde
06034|HO|Geschiedenis
06035|HO|Talen en culturen van India en Tibet
06040|HO|Semitische talen en culturen
06047|HO|Vergelijkende indo-europese taalwetenschap
06048|HO|Vergelijkende taalwetenschap van andere taalfamilies
06049|HO|Letteren
06050|HO|Nieuwgriekse taal- en letterkunde
06051|HO|Europese studies
06052|HO|Talen en culturen Latijns-Amerika/Spaans
06053|HO|Vrije. studierichting toegepaste taalwetenschap vua
06054|HO|Vrije studierichting algemene letteren
06055|HO|Dutch studies
06056|HO|Amerikanistiek
06057|HO|Toegepaste taalkunde
06058|HO|Spraak- en taalpathologie
06059|HO|Lexicologie
06061|HO|Vertaalwetenschap
06062|HO|Taal- en cultuurstudies
06064|HO|Algemene letteren
06065|HO|Fonetiek
06066|HO|Bedrijfsinformatietechnologie
06067|HO|Mediaevistiek
06068|HO|Ruslandkunde
06069|HO|Mediterrane studies
06070|HO|Algemene en vergelijkende romanistiek
06071|HO|Toegepaste taalwetenschap
06072|HO|Midden-Oosten studies
06073|HO|Vergelijkende kunstwetenschap: woord en beeld
06074|HO|Romaanse Talen en Culturen
06075|HO|Afrikanistiek
06076|HO|Talen en culturen van Indiaans Amerika
06077|HO|Helleense studies
06079|HO|Duitslandstudies
06081|HO|Wijsbegeerte
06082|HO|Bovenbouw studierichting wijsbegeerte
06083|HO|Vrije studierichting wijsbegeerte
06084|HO|Duits/Russisch
06086|HO|Beleid en Bestuur in Internationale Organisaties
06087|HO|Oosteuropese studies
06088|HO|Wijsbegeerte op basis van een niet wijsgerige propedeuse
06089|HO|Taal, informatie en communicatie
06091|HO|Keltische talen en cultuur
06093|HO|Oost-Europees Juridische Opleiding
06100|HO|Godgeleerdheid
06102|HO|Levensbeschouwingen
06104|HO|Godsdienstwetenschap
06105|HO|Humanistiek
06106|HO|Religiestudies
06107|HO|Algemene opleiding godgeleerdheid
06108|HO|Sociaal-wetenschappelijke studie van de godsdienst
06109|HO|Theologie
06110|HO|Godgeleerdheid (klassiek)
06111|HO|Kerkelijke opleiding
06112|HO|Str godgeleerdheid gecombineerd met kerkelijke opleiding
06113|HO|Godgeleerdheid (niet klassiek)
06114|HO|Religie- en levensbeschouwing
06117|HO|Theologie (algemeen)
06146|HO|Computational science
06149|HO|Medische wetenschappen
06151|HO|Wiskunde
06152|HO|Technische Wiskunde
06153|HO|Technische mechanica
06154|HO|Sterrenkunde
06155|HO|Natuurkunde
06156|HO|Scheikunde
06157|HO|Farmacie
06159|HO|Geologie
06160|HO|Geofysica
06161|HO|Biologie
06162|HO|Farmacochemie
06163|HO|Bio-farmaceutische wetenschappen
06164|HO|Wiskunde en informatica
06165|HO|Meteorologie en fysische oceanografie
06166|HO|Biomedische wetenschappen
06167|HO|Bedrijfswiskunde en informatica
06168|HO|Ruimtelijke wetenschappen
06169|HO|Vrije studierichting wis- en natuurkunde
06171|HO|Fysische geografie
06172|HO|Pre- en protohistorie
06173|HO|Vrije studierichting geologie en prehistorie
06174|HO|Vrije studierichting pre- en protohistorie
06175|HO|Vrije studierichting sociale geografie
06176|HO|Bedrijfsgerichte informatica
06177|HO|Geochemie
06178|HO|Milieukunde
06179|HO|Wetenschapsdynamica
06181|HO|Informatica
06182|HO|Beleidsgerichte milieukunde
06183|HO|Natuurwetenschappelijke Milieukunde
06184|HO|Milieuwetenschappen/scheikunde
06185|HO|Technisch gerichte informatica
06186|HO|Cultuur- en mentaliteitsgeschiedenis
06187|HO|Ontwikkelingsstudies
06188|HO|Bedrijfseconometrie
06189|HO|Bedrijfsinformatica
06191|HO|Biologie
06192|HO|Bioprocestechnologie
06193|HO|Fundamentele biomedische wetenschappen
06194|HO|Technische planologie
06195|HO|Technische informatica
06196|HO|Milieuwetenschappen/natuurkunde
06197|HO|Milieuwetenschappen/aardwetenschappen
06198|HO|Landgebruikopleidingen l10 l20 l30 l50 l60
06200|HO|N-propedeuse (natuurkunde)
06202|HO|Landbouwplantenteelt
06203|HO|Tropische plantenteelt
06204|HO|Tuinbouw
06205|HO|Plantenveredeling
06206|HO|Planteziektekunde
06207|HO|Bosbouw
06208|HO|Milieuwetenschappen/biologie
06209|HO|Agrosysteemkunde
06210|HO|Zootechniek
06211|HO|Tropisch landgebruik
06212|HO|Landinrichtingswetenschappen
06213|HO|Plantenveredeling en gewasbescherming
06214|HO|Voeding en toxicologie
06215|HO|Milieuwetenschappen
06218|HO|Plantenteeltwetenschappen
06219|HO|Bos- en natuurbeheer
06221|HO|Cultuurtechniek
06222|HO|Tropische cultuurtechniek
06223|HO|Landbouwtechniek
06224|HO|Bodem, water en atmosfeer
06225|HO|Onwikkelings- en tropische studies (prop)
06226|HO|Biomedische Technologie
06231|HO|Levensmiddelentechnologie
06232|HO|Voeding en Gezondheid
06233|HO|Milieuhygiene
06234|HO|Moleculaire wetenschappen
06235|HO|Technische bestuurskunde
06236|HO|Milieubiologie
06240|HO|NM-propedeuse (natuur-maatschappijwetenschappelijk)
06242|HO|Landschapsarchitectuur
06244|HO|Agrarische sociologie niet-westerse gebieden
06245|HO|Agrarische sociologie van de niet-westerse gebieden
06246|HO|Teeltkundige en technologische richting
06247|HO|Plantenteeltkundige opleidingen t1
06248|HO|Chemische en technologische opleidingen t3
06252|HO|Civiele Techniek
06253|HO|Geodesie
06254|HO|Bouwkunde
06255|HO|Werktuigbouwkunde
06256|HO|Elektrotechniek
06257|HO|Scheikundige Technologie
06258|HO|Mijnbouwkunde en Petroleumwinning
06259|HO|Scheepsbouw en scheepvaartkunde
06260|HO|Luchtvaart- en Ruimtevaarttechniek
06261|HO|Metaalkunde
06262|HO|Industrieel Ontwerpen
06263|HO|Technische Natuurkunde
06264|HO|Materiaalkunde
06265|HO|Techniek en maatschappij
06268|HO|Informatietechniek
06269|HO|Werktuigkundige medische technologie
06270|HO|Technische natuurkunde
06271|HO|Technische scheikunde
06272|HO|Milieutechnologie
06274|HO|Maritieme Techniek
06275|HO|Bedrijfsinformatiesystemen
06276|HO|Installatietechniek
06277|HO|Technische bedrijfswetenschappen
06280|HO|Wijsbegeerte van wetenschap, technologie en samenleving
06281|HO|Technische Informatica
06283|HO|Milieukunde
06285|HO|Business Administration
06286|HO|Life Science and Technology
06401|HO|Economie
06402|HO|Fiscale economie
06403|HO|Econometrie
06404|HO|Accountancy
06405|HO|Exp. studierichting bestuurl. informatiekunde
06406|HO|Bestuurlijke informatiekunde
06407|HO|Recht en economie in bedrijf en maatschappij
06408|HO|Sociale en institutionele economie
06409|HO|Vrije studierichting economische wetenschappen
06411|HO|Actuariele wetenschappen
06412|HO|Operationele research en management
06413|HO|Japankunde
06414|HO|Sociologisch-economische opleiding
06415|HO|Bedrijfskunde van de financiele sector
06416|HO|Arbeidskunde
06417|HO|Oost-europakunde
06418|HO|Japanse en koreaanse talen en culturen
06419|HO|Chinese taal en cultuur
06420|HO|Bedrijfskunde
06421|HO|Kennistechnologie
06422|HO|Economische geografie en internationale economie
06423|HO|Civiele technologie en management
06424|HO|Communicatiekunde
06425|HO|Bedrijfswetenschappen
06426|HO|Beleidsgerichte economie
06427|HO|Bestuurs- en organisatiewetenschap
06428|HO|Kunst- en Cultuurwetenschappen
06429|HO|Internationaal recht
06430|HO|Technische Bedrijfskunde
06431|HO|Bedrijfseconomie
06432|HO|Algemene economie
06433|HO|Bestuurskunde
06435|HO|Accountancy
06439|HO|Rechtsgeleerdheid
06445|HO|Agrarische economie
06446|HO|Huishoud- en consumentenwetenschappen
06448|HO|Economie van landbouw en milieu
06449|HO|Maatschappijwetenschappelijke richtingen (prop.)
06451|HO|Nederlands recht
06452|HO|Notariele opleiding
06453|HO|Fiscaal-juridische opleiding
06455|HO|Antilliaans recht
06457|HO|Vrije studierichting rechtsgeleerdheid
06460|HO|Internationaal-juridische opleiding
06461|HO|Juridische bestuurswetenschappelijke opleiding
06462|HO|Juridisch politiek-wetenschappelijke opleiding
06464|HO|Nederlands recht, internationale/europeesrechtelijke opleiding
06465|HO|Civielrechtelijke opleiding
06466|HO|Staats- en bestuursrechtelijke opleiding
06467|HO|Strafrechtelijke opleiding
06468|HO|Recht, beleid en management
06469|HO|Criminologie
06470|HO|European law school
06471|HO|Europees-juridische opleiding
06548|HO|Technische farmacie
06549|HO|Milieugezondheidkunde
06551|HO|Geneeskunde
06553|HO|Gezondheidswetenschappen
06554|HO|Beleid en management gezondheidszorg
06555|HO|Biomedische gezondheidswetenschappen
06556|HO|Biomedische wetenschappen
06557|HO|Medische biologie
06559|HO|Bewegingswetenschappen
06560|HO|Tandheelkunde
06562|HO|Gezondheidswetenschappen
06563|HO|Verplegingswetenschappen
06564|HO|Medische biologie
06565|HO|Biologische gezondheidskunde
06566|HO|Geestelijke gezondheidskunde
06567|HO|Natuurwetenschappen
06568|HO|Japanse taal en cultuur
06569|HO|Vrije studierichting gezondheidswetensch.
06570|HO|Diergeneeskunde
06572|HO|Vrije studierichting diergeneeskunde
06573|HO|Medische informatiekunde
06574|HO|Koreaanse taal en cultuur
06580|HO|Vrije studierichting geneeskunde
06601|HO|Sociologie
06604|HO|Psychologie
06606|HO|Politicologie
06607|HO|Pedagogische wetenschappen
06608|HO|Andragogische wetenschappen
06611|HO|Maatschappijgeschiedenis
06612|HO|Toegepaste onderwijskunde
06613|HO|Onderwijskunde
06614|HO|Culturele antropologie en sociologie der Niet-Westerse samenlevingen
06615|HO|Communicatiewetenschap
06617|HO|Cognitiewetenschap
06618|HO|Cognitieve kunstmatige intelligentie
06619|HO|Sociaal-culturele wetenschappen
06620|HO|Sociale geografie
06622|HO|Planologie
06623|HO|Exp. studierichting welzijnsvraagstukken
06626|HO|Personeelwetenschappen
06627|HO|Bestuurskunde
06628|HO|Cultuurwetenschappen
06629|HO|Beleidswetenschappen
06630|HO|Arbeid en sociale zekerheid
06631|HO|Algemene sociale wetenschappen
06632|HO|Beleids- en organisatiewetenschappen
06633|HO|Vrijetijdwetenschappen
06634|HO|Onderwijswetenschappen
06636|HO|Demografie
06637|HO|Sociale wetenschappen
06638|HO|Boek- en informatiewetenschap
06639|HO|Sociaal-wetenschappelijke informatica
06641|HO|Rurale ontwikkelingsstudies
06642|HO|Statistiek
06643|HO|Kunstmatige intelligentie
06645|HO|Economische en historische studies
06646|HO|Technische cognitiewetenschap
06647|HO|Bedrijfs-en industriele statistiek
06648|HO|Toegepaste communicatiewetenschap
06699|HO|Film- en televisiewetenschap
06700|HO|Muziekwetenschap
06701|HO|Film- en opvoeringskunsten
06702|HO|Theater-, Film- en Televisiewetenschap
06703|HO|Archeologie
06704|HO|Oudheidkunde
06705|HO|Vrije studierichting koreaanse taal & literatuur
06706|HO|Islamkunde
06707|HO|Cultuur- en Wetenschapsstudies
06708|HO|Culturele studies
06709|HO|Latijnse taal- en letterkunde
06710|HO|Kunstgeschiedenis en archeologie
06711|HO|Exp. studierichting alpha-informatica
06713|HO|Vrije studier. taal, spraak en informatie
06717|HO|Exp. studierichting archeologie
06718|HO|Taal, spraak en informatica
06719|HO|Bedrijfscommunicatie letteren
06720|HO|Alfa-informatica
06721|HO|Islamologie
06722|HO|Alpha-informatica
06800|HO|Wetenschap van Godsdienst en Levensbeschouwing
06801|HO|Taal- en cultuurstudies
06802|HO|Literatuurwetenschap
06803|HO|Taalwetenschap
06804|HO|Nederlandse Taal en Cultuur
06805|HO|Duitse Taal en Cultuur
06806|HO|Engelse Taal en Cultuur
06807|HO|Scandinavische Talen en Culturen
06808|HO|Franse Taal en Cultuur
06809|HO|Italiaanse Taal en Cultuur
06810|HO|Spaanse Taal en Cultuur
06811|HO|Portugese Taal en Cultuur
06812|HO|Roemeense Taal en Cultuur
06813|HO|Slavische Talen en Culturen
06814|HO|Nieuwgriekse Taal en Cultuur
06815|HO|Finoegrische Talen en Culturen
06816|HO|Latijnse Taal en Cultuur
06817|HO|Talen en Culturen van het Nabije en Midden-Oosten
06818|HO|Talen en Culturen van China
06819|HO|Talen en Culturen van Japan
06820|HO|Talen en Culturen van Korea
06821|HO|Talen en Culturen van Afrika
06822|HO|Informatica en Economie
06823|HO|Algemene Cultuurwetenschappen
06824|HO|Kunstgeschiedenis
06825|HO|Archeologie en Prehistorie
06826|HO|Communicatie- en informatiewetenschappen
06827|HO|Fiscaal recht
06828|HO|Notarieel recht
06829|HO|Internationaal en Europees recht
06831|HO|Technologie en Milieumanagement
06832|HO|Domeingerichte economie
06833|HO|Econometrie en operationele research
06834|HO|Bedrijfswetenschappen
06835|HO|Plant- en Gewaswetenschappen
06836|HO|Bedrijfs- en Consumentenwetenschappen
06837|HO|Internationale Ontwikkelingsstudies
06838|HO|Sociale Geografie en Planologie
06839|HO|Milieu-maatschappijwetenschappen
06840|HO|Wiskunde
06841|HO|Biotechnologie
06842|HO|Informatiekunde
06843|HO|Algemene Natuurwetenschappen
06844|HO|Natuurkunde
06846|HO|Milieu-natuurwetenschappen
06848|HO|Landinrichting
06849|HO|Dierwetenschappen
06850|HO|Milieu-technische Wetenschappen
06851|HO|Algemene Gezondheidswetenschappen
06852|HO|Socio-medische Wetenschappen
06853|HO|Psychologie vanuit biologisch en cognitivistisch perspectief
06854|HO|Milieu-gezondheidswetenschappen
06856|HO|Bedrijfswiskunde en Informatica
06857|HO|Scheikunde
06858|HO|Fysische Geografie
06859|HO|Geologie
06860|HO|Biologie
06861|HO|Milieuwetenschappen/Aardwetenschappen
06862|HO|Milieuwetenschappen/Biologie
06863|HO|Milieuwetenschappen/Scheikunde
06864|HO|Farmacochemie
06865|HO|Medische Biologie
06866|HO|Wiskunde en Informatica
06867|HO|Technische gerichte Informatica
06868|HO|Voeding en Gezondheid
06870|HO|Natuurwetenschappen
06871|HO|Natuurwetenschappelijke Milieukunde
06872|HO|Sterrenkunde
06873|HO|Bio-farmaceutische Wetenschap
06874|HO|Statistiek
06876|HO|Technische Farmacie
06877|HO|Computational Science
06878|HO|Meteorologie en Fysische Oceanografie
06879|HO|Geochemie
06880|HO|Geofysica
06881|HO|Milieubiologie
06882|HO|Fundamentele Biomedische Wetenschappen
06883|HO|Bedrijfs- en Industriele Statistiek
06949|HO|Telematica
06950|HO|Bewegingswetenschappen
06951|HO|Bouwkunde
06952|HO|Civiele Techniek
06953|HO|Elektrotechniek
06954|HO|Geodesie
06955|HO|Industrieel Ontwerpen
06956|HO|Luchtvaart- en Ruimtevaarttechniek
06957|HO|Maritieme Techniek
06958|HO|Technische Materiaalwetenschappen
06959|HO|Technische Aardwetenschappen
06960|HO|Scheikundige Technologie
06961|HO|Technische Mechanica
06962|HO|Technische Natuurkunde
06963|HO|Technische Scheikunde
06964|HO|Technische Informatica
06965|HO|Technische Wiskunde
06966|HO|Werktuigbouwkunde
06967|HO|Bioprocestechnologie
06968|HO|Bodem, Water en Atmosfeer
06969|HO|Bosbouw
06970|HO|Landbouwplantenteelt
06971|HO|Landbouwtechnische Wetenschappen
06972|HO|Landinrichtingswetenschappen
06973|HO|Levensmiddelentechnologie
06974|HO|Milieuhygiene
06975|HO|Tropisch Landgebruik
06976|HO|Tuinbouw
06977|HO|Zootechniek
06978|HO|Informatica
06979|HO|Informatietechnologie
06980|HO|Wiskunde
06981|HO|Kunstmatige Intelligentie
06982|HO|Algemene Natuurwetenschappen
06984|HO|Natuur- en Sterrenkunde
06986|HO|Aardwetenschappen
06988|HO|Milieu-Natuurwetenschappen
06989|HO|Farmaceutische Wetenschappen
06990|HO|Biomedische Wetenschappen
06991|HO|Moleculaire Wetenschappen
06992|HO|Techniek en Maatschappij
06993|HO|Civiele Techniek
06994|HO|Technische Bedrijfskunde
06995|HO|Technische Bestuurskunde
07003|HO|L.O. griekse en latijnse taal en cultuur (oude stijl)
07004|HO|L.O. nederlandse taal- en letterkunde (oude stijl)
07006|HO|L.O. franse taal- en letterkunde (oude stijl)
07008|HO|L.O. spaanse taal- en letterkunde (oude stijl)
07010|HO|L.O. duitse taal- en letterkunde (oude stijl)
07011|HO|L.O. engelse taal- en letterkunde (oude stijl)
07012|HO|L.O. friese taal- en letterkunde (oude stijl)
07034|HO|L.O. geschiedenis (oude stijl)
07062|HO|Onz. opl. taal- en literatuurwetenschap
07081|HO|L.O. wijsbegeerte (oude stijl)
07084|HO|Wijsbegeerte van een Bepaald Wetenschapsgebied
07151|HO|L.O. wiskunde (oude stijl)
07155|HO|L.O. natuurkunde (oude stijl)
07156|HO|L.O. scheikunde (oude stijl)
07157|HO|Apotheker
07161|HO|L.O. biologie (oude stijl)
07181|HO|L.O. informatica
07401|HO|L.O. economie (oude stijl)
07404|HO|ULO accountancy
07451|HO|L.O. nederlands recht
07551|HO|Arts
07553|HO|Onz. opl. gezondheidswetenschap
07560|HO|Tandarts
07570|HO|Dierenarts
07581|HO|ULO logopedie
07582|HO|ULO dietetiek
07583|HO|ULO verpleegkunde
07584|HO|ULO fysiotherapie
07585|HO|ULO ergotherapie
07601|HO|ULO sociologie
07604|HO|L.O. psychologie
07606|HO|L.O. politicologie
07607|HO|L.O. pedagogische wetenschappen
07608|HO|L.O. andragogische wetenschappen
07613|HO|L.O. onderwijskunde
07614|HO|L.O. culturele antropologie
07615|HO|L.O. communicatiewetenschap
07616|HO|Onz. opl. maatschappijgeschiedenis
07617|HO|ULO maatschappijgeschiedenis
07618|HO|L.O. maatschappijleer (oude stijl)
07620|HO|L.O. sociale geografie (oude stijl)
07710|HO|L.O. kunstgeschiedenis en archeologie (oude stijl)
07720|HO|L.O. sociale geografie (oude stijl)
08000|HO|Eerstegraads lerarenopleiding Arabisch
08001|HO|Turks
08003|HO|Grieks en Latijn
08004|HO|Nederlands
08006|HO|Frans
08007|HO|Italiaans
08008|HO|Spaans
08009|HO|Kennis van Godsdienst en Levensbeschouwing
08010|HO|Duits
08011|HO|Engels
08012|HO|Fries
08014|HO|Russisch
08034|HO|Geschiedenis en staatsinrichting
08040|HO|Hebreeuws
08041|HO|Lerarenopleiding Latijn en klassieke en culturele vorming
08074|HO|Bijbelkennis en cultuurgeschiedenis van het christendom
08075|HO|Godsdienst / Levensbeschouwing
08081|HO|Filosofie
08100|HO|Godgeleerdheid
08151|HO|Wiskunde
08154|HO|Sterrenkunde
08155|HO|Natuurkunde
08156|HO|Scheikunde
08161|HO|Biologie
08176|HO|Aardrijkskunde
08401|HO|Algemene economie
08402|HO|Fiscale economie
08403|HO|Bedrijfseconomie
08618|HO|Maatschappijleer
08620|HO|Sociale geografie
08700|HO|Muziek
08710|HO|Kunstgeschiedenis
08800|HO|L.O.algemene economie, in-service
08801|HO|L.O.bedrijfseconomie, in-service
08802|HO|Technische natuurkunde
08803|HO|Technische scheikunde
08804|HO|L.O.wiskunde, in-service
09000|HO|Economisch-juridische opleiding (coop)
09001|HO|Opleiding tot verpleegkundige
09002|HO|Belastingen
09003|HO|Bestuurskunde
09004|HO|Hoger hotelonderwijs
09005|HO|Vrije studierichting economie (coop)
09006|HO|Bedrijfskundige informatica
09007|HO|Chemische laboratoriumopleiding
09008|HO|Medische laboratoriumopleiding
09009|HO|Laboratoriuminformatica en automatisering
09010|HO|Analytische proces- en lab.instrumentatie
09011|HO|Facilitaire dienstverlening co-op
09012|HO|Maatschappelijk werk en dienstverlening
09013|HO|Sociaal pedagogische hulpverlening
09014|HO|Accountancy
09015|HO|Personeel & arbeid
09016|HO|Bedrijfseconomie
09017|HO|Commerciele economie
09018|HO|Hoger distributieonderwijs
09019|HO|Communicatie
09020|HO|Economisch linguistisch
09021|HO|Milieukunde
09022|HO|Coop journalistiek
09023|HO|Opl. voor management, economie en recht
09024|HO|Logistiek en economie
09100|HO|Docent beeldende kunst en vormgeving
09101|HO|Voortgezette Opleiding Typografie
09102|HO|Voortgezette Opleiding Fashion
09103|HO|Voortgezette opleiding choreografie
09104|HO|Voortgezette Kunstopleiding Sonologie
09105|HO|Voortgezette Kunstopleiding Opera
09106|HO|Voortgezette Kunstopleiding Typografie en Media
09107|HO|Voortgezette opleiding media design and communicatie
09108|HO|Voortgezette Opleiding Danstherapie
09110|HO|Autonome beeldende kunst
09111|HO|Vormgeving
09112|HO|Docent Muziek
09113|HO|Voortgezette opleiding MFA Schilderkunst
09114|HO|Voortgezette opleiding MFA Theatervormgeving/beeldregie
09201|HO|Integrale veiligheid
09203|HO|Vastgoed en makelaardij
09204|HO|Kust- en zeestudies
09215|HO|Bio-informatica
09216|HO|Industriele automatisering
09218|HO|Opleidingskunde
09219|HO|Gezondheidszorg technologie
09300|HO|Bioprodukt Management
09301|HO|Installatietechnologie
09302|HO|Hanse law school
09303|HO|European studies
09304|HO|Moleculaire Levenswetenschappen
09305|HO|Informatiekunde
10001|MBO|Ondernemer/Manager Detailhandel (middenkaderopleiding)
10002|MBO|Ondernemer Groothandel (middenkaderopleiding)
10003|MBO|Ondernemer Ambulante Handel (middenkaderopleiding)
10004|MBO|Ondernemer Kleinbedrijf Textielindustrie en -Handel (middenkaderopleiding)
10005|MBO|Filiaalbeheerder (middenkaderopleiding)
10006|MBO|Districtsmanager (middenkaderopleiding)
10007|MBO|Hoofd Magazijn (middenkaderopleiding)
10008|MBO|Verkoopchef (vakopleiding)
10009|MBO|Afdelingschef Kassa (vakopleiding)
10010|MBO|Eerste Verkoper (vakopleiding)
10011|MBO|Groepsleider Magazijn (vakopleiding)
10012|MBO|Vertegenwoordiger (vakopleiding)
10013|MBO|Medewerker Inkoop (vakopleiding)
10014|MBO|Commercieel Medewerker Binnendienst (vakopleiding)
10015|MBO|Exportmedewerker Binnendienst (vakopleiding)
10016|MBO|Exportmedewerker Buitendienst (vakopleiding)
10017|MBO|Assistent Exportmanager (vakopleiding)
10018|MBO|Leidinggevende Textielindustrie en -Handel (vakopleiding)
10019|MBO|Verkoopmedewerker (basisberoepsopleiding)
10020|MBO|Verkoop Medewerker Ambulante Handel (basisberoepsopleiding)
10021|MBO|Magazijnmedewerker (basisberoepsopleiding)
10022|MBO|Winkelassistent (assistentenopleiding)
10023|MBO|Opslagmedewerker (assistentenopleiding)
10024|MBO|Orderpicker (assistentenopleiding)
10025|MBO|Sociaal Juridisch Medewerker - Sociale Zekerheid (middenkaderopleiding)
10026|MBO|Sociaal Juridisch Medewerker - Arbeidsvoorziening en Personeelswerk (middenkaderopleiding)
10027|MBO|Administratief Juridisch Medewerker-Openbaar Bestuur (middenkaderopleiding)
10028|MBO|Beheerder Technische Infrastructuur (middenkaderopleiding)
10029|MBO|Applicatie Ontwikkelaar (specialistenopleiding)
10030|MBO|Applicatiebeheerder (middenkaderopleiding)
10031|MBO|Systeembeheerder MKB (middenkaderopleiding)
10032|MBO|Netwerkbeheerder (specialistenopleiding)
10033|MBO|ICT - Beheerder (specialistenopleiding)
10034|MBO|Medewerker Logistiek Management - Material Management (middenkaderopleiding)
