Opleidingscode|ISCEDF2013-detailgroep|ISCEDF2013-detailgroep omschrijving|ISCEDF2013-rubriek|ISCEDF2013-rubriek omschrijving
06218|0811|landbouw en veeteelt|081102|planten-, groente en fruitteelt
06219|0821|bosbouw|082101|bosbouw
06221|0811|landbouw en veeteelt|081109|cultuurtechniek
06222|0811|landbouw en veeteelt|081109|cultuurtechniek
06223|0811|landbouw en veeteelt|081108|landbouwmechanisatie
06224|0532|aardwetenschappen|053201|geologie, fysische geografie
06225|0311|economie en econometrie|031102|agrarische economie
06226|0512|biochemie|051202|biomedische wetenschappen
06231|0721|levensmiddelentechnologie|072101|levensmiddelen algemeen
06232|0512|biochemie|051203|voeding en gezondheid
06233|1021|openbare reiniging, waterbeheer en -distributie|102101|openbare reiniging, waterbeheer en -distributie
06234|0511|biologie|051102|moleculaire wetenschappen
06235|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
06236|0521|milieu|052101|milieukunde
06240|0811|landbouw en veeteelt|081102|planten-, groente en fruitteelt
06242|0731|architectuur en stedebouwkunde|073104|landschapsarchitectuur
06244|0314|sociologie en culturele wetenschappen|031402|sociologie
06245|0314|sociologie en culturele wetenschappen|031402|sociologie
06246|0811|landbouw en veeteelt|081108|landbouwmechanisatie
06247|0811|landbouw en veeteelt|081102|planten-, groente en fruitteelt
06248|0500|wiskunde, natuurwetenschappen z.n.d.|050000|wiskunde, natuurwetenschappen z.n.d.
06249|0811|landbouw en veeteelt|081102|planten-, groente en fruitteelt
06252|0732|bouwkunde en civiele techniek|073201|weg- en waterbouw
06253|0731|architectuur en stedebouwkunde|073102|landmeetkunde
06254|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
06255|0715|werktuigbouwkunde en metaalbewerking|071501|werktuigbouwkunde algemeen
06256|0713|elektro- en energietechniek|071301|elektrotechniek algemeen
06257|0711|scheikundige technologie en procestechniek|071104|chemische technologie
06258|0724|delfstofwinning|072401|delfstofwinning
06259|0716|voertuigtechniek, scheepsbouw- en vliegtuigbouwkunde|071605|scheepsbouwkunde
06260|0716|voertuigtechniek, scheepsbouw- en vliegtuigbouwkunde|071606|vliegtuigbouwkunde
06261|0715|werktuigbouwkunde en metaalbewerking|071503|constructiewerken, machinebankwerken, lassen, smeden, gieten
06262|0719|techniek en technische dienstverlening overig|071901|technische industriele vormgeving
06263|0533|natuurkunde|053301|natuurkunde
06264|0533|natuurkunde|053303|materiaalkunde
06265|0413|management bedrijfs- en personeelswetenschappen|041308|bedrijfstechniek, technische bedrijfsvoering
06268|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
06269|0914|medische diagnostiek en medische technologie|091408|hart-, longfunctie en overige medische techniek
06270|0533|natuurkunde|053301|natuurkunde
06271|0711|scheikundige technologie en procestechniek|071104|chemische technologie
06272|0712|milieubescherming en milieutechnologie|071201|milieutechnologie
06273|0710|techniek en technische dienstverlening z.n.d.|071000|techniek en technische dienstverlening z.n.d.
06274|0716|voertuigtechniek, scheepsbouw- en vliegtuigbouwkunde|071605|scheepsbouwkunde
06275|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
06276|0713|elektro- en energietechniek|071303|installatietechniek (elektro) algemeen
06277|0413|management bedrijfs- en personeelswetenschappen|041308|bedrijfstechniek, technische bedrijfsvoering
06280|0223|filosofie en ethiek|022301|filosofie
06281|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
06283|0521|milieu|052101|milieukunde
06285|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
06286|0512|biochemie|051202|biomedische wetenschappen
06401|0311|economie en econometrie|031101|economie
06402|0311|economie en econometrie|031101|economie
06403|0311|economie en econometrie|031103|econometrie
06404|0411|financieel management en belastingen|041101|financieel management en administratie
06405|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
06406|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
06407|0411|financieel management en belastingen|041103|belastingen
06408|0311|economie en econometrie|031101|economie
06409|0311|economie en econometrie|031101|economie
06411|0542|statistiek|054202|actuariaat
06412|0311|economie en econometrie|031103|econometrie
06413|0416|groothandel en detailhandel|041603|groothandel, export en overige handel
06415|0412|financiële dienstverlening|041201|geld- en bankzaken
06416|1022|veiligheid op het werk en ergonomie|102201|arbeidskunde
06417|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06418|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06419|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06420|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
06421|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
06422|0314|sociologie en culturele wetenschappen|031404|sociale geografie
06423|0732|bouwkunde en civiele techniek|073201|weg- en waterbouw
06424|0321|journalistiek|032102|communicatiewetenschappen
06425|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
06426|0311|economie en econometrie|031101|economie
06427|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
06428|0314|sociologie en culturele wetenschappen|031403|cultuurwetenschappen
06429|0421|recht|042102|internationaal recht
06430|0413|management bedrijfs- en personeelswetenschappen|041308|bedrijfstechniek, technische bedrijfsvoering
06431|0413|management bedrijfs- en personeelswetenschappen|041305|bedrijfseconomie
06432|0311|economie en econometrie|031101|economie
06433|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
06435|0411|financieel management en belastingen|041101|financieel management en administratie
06439|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
06445|0311|economie en econometrie|031102|agrarische economie
06446|1011|huishoudkunde, facilitaire dienstverlening en reiniging|101101|huishoudkunde, verzorging algemeen
06448|0311|economie en econometrie|031102|agrarische economie
06449|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
06450|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
06451|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
06452|0421|recht|042103|notariaat
06453|0421|recht|042105|fiscaal recht
06457|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
06460|0421|recht|042102|internationaal recht
06461|0413|management bedrijfs- en personeelswetenschappen|041302|juridische bestuurskunde
06462|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
06464|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
06465|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
06466|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
06467|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
06468|0421|recht|042104|juridisch bestuurlijk
06469|0314|sociologie en culturele wetenschappen|031402|sociologie
06470|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
06471|0421|recht|042102|internationaal recht
06548|0916|farmacie|091601|farmacie
06549|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
06551|0912|geneeskunde|091201|(huis)arts, specialist, geneeskunde
06553|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
06554|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
06555|0512|biochemie|051202|biomedische wetenschappen
06556|0512|biochemie|051202|biomedische wetenschappen
06557|0511|biologie|051101|biologie
06559|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
06560|0911|tandheelkunde|091101|tandarts
06562|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
06563|0913|verpleeg- en verloskunde|091301|verpleging
06564|0511|biologie|051101|biologie
06565|0512|biochemie|051202|biomedische wetenschappen
06566|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
06567|0500|wiskunde, natuurwetenschappen z.n.d.|050000|wiskunde, natuurwetenschappen z.n.d.
06568|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06569|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
06570|0841|diergeneeskunde en -verzorging|084101|diergeneeskunde en -verzorging
06573|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
06574|0231|vreemde talen z.n.d.|023108|niet westerse talen en culturen
06580|0912|geneeskunde|091201|(huis)arts, specialist, geneeskunde
06600|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
06601|0314|sociologie en culturele wetenschappen|031402|sociologie
06604|0313|psychologie|031301|psychologie
06606|0312|politicologie en maatschappijwetenschappen|031201|politicologie
06607|0111|onderwijskunde|011102|pedagogiek, andragogiek
06608|0111|onderwijskunde|011102|pedagogiek, andragogiek
06611|0222|geschiedenis, archeologie|022201|geschiedenis
06612|0111|onderwijskunde|011101|onderwijskunde
06613|0111|onderwijskunde|011101|onderwijskunde
06614|0314|sociologie en culturele wetenschappen|031402|sociologie
06615|0321|journalistiek|032102|communicatiewetenschappen
06617|0313|psychologie|031301|psychologie
06618|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
06619|0314|sociologie en culturele wetenschappen|031402|sociologie
06620|0314|sociologie en culturele wetenschappen|031404|sociale geografie
06622|0731|architectuur en stedebouwkunde|073101|planologie
06623|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
