Opleidingscode|ISCEDF2013-detailgroep|ISCEDF2013-detailgroep omschrijving|ISCEDF2013-rubriek|ISCEDF2013-rubriek omschrijving
09006|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
09007|0531|scheikunde|053102|chemische laboratoriumtechniek
06967|0512|biochemie|051204|biotechnologie
06968|0532|aardwetenschappen|053201|geologie, fysische geografie
06969|0821|bosbouw|082101|bosbouw
06970|0811|landbouw en veeteelt|081102|planten-, groente en fruitteelt
06971|0811|landbouw en veeteelt|081108|landbouwmechanisatie
06972|0731|architectuur en stedebouwkunde|073101|planologie
06973|0721|levensmiddelentechnologie|072101|levensmiddelen algemeen
06974|1021|openbare reiniging, waterbeheer en -distributie|102101|openbare reiniging, waterbeheer en -distributie
06975|0811|landbouw en veeteelt|081101|land(akker)bouw algemeen
06976|0812|tuinbouw|081201|tuinbouw algemeen
06977|0811|landbouw en veeteelt|081103|dierenteelt, -verzorging algemeen
06978|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
06980|0541|wiskunde|054101|wiskunde
06981|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
06982|0500|wiskunde, natuurwetenschappen z.n.d.|050000|wiskunde, natuurwetenschappen z.n.d.
06984|0533|natuurkunde|053303|materiaalkunde
06986|0532|aardwetenschappen|053201|geologie, fysische geografie
06988|0521|milieu|052101|milieukunde
06989|0916|farmacie|091601|farmacie
06990|0512|biochemie|051202|biomedische wetenschappen
